Categoria	Pregunta	Dificultad	Tipo	r1	r2	r3	r4	rCorrecta	img
Software	Software en el que los usuarios tienen permiso para copiar, usar y modificar sin penalización	Media	multiple	Software comercial	Software privado	Software libre	Software freewere	r3	
Software	Se puede usar, distribuir y hasta modificar pero con limitaciones	Media	multiple	Software Semi-libre	Software libre	Freeware	Shareware	r1	
Software	Autoriza el uso del software de forma libre y gratuita, aunque con capacidades limitadas.	Media	multiple	Freeware	Shareware	Software Semi-libre	Software Libre	r1	
Software	Son las licencias temporales que te permiten probar y evaluar un programa	Media	multiple	Freeware	Shareware	Semi-libre	Libre	r2	
Software	Núcleo del sistema operativo GNU/Linux creado por LinusTorvalds en 1991.	Media	multiple	Ubuntu	Fedora	Linux	Android	r3	
Software	Sistema operativo de código abierto creado a partir de la combinación Linux y el proyecto GNU	Media	multiple	Ubuntu	Suse	GNU/Linux	Mac OS	r3	
Software	Sistema con funciones de escritorio patrocinado por canonical Ltd, es libre y de código abierto	Media	multiple	Ubuntu	Fedora	Suse	Mandrivia	r1	
Software	Modo de ejecución desde CD o USB para probar el Sistema operativo	Media	multiple	Modo live	Máquina Virtual	Partición de disco duro	Como aplicación en windows	r1	
Software	Modo de ejecución de ubuntu que divide el disco duro	Media	multiple	Modo live	Partición de disco duro	Máquina Virtual	Aplicación desde windows	r2	
Software	El sistema operativo	Media	multiple	Es el programa principal del ordenador	Actúa como traductor entre el usuario y el ordenador	Permite el funcionamiento básico del ordenador	Todas son correctas	r4	
Software	El Sistema Operativo más utilizado comercialmente es ...	Media	multiple	Windows	Linux	Mac OS	Unix	r1	
Software	El Sistema Operativo libre es...	Media	multiple	Windows	Linux	Mac OS	Unix	r2	
Software	Indica qué Sistema Operativo es gratuito	Media	multiple	Windows	Mac OS	Linux	Unix	r3	
Software	Indica qué Sistema Operativo se utiliza mucho para diseño	Media	multiple	Windows	Mac OS	Linux	Unix	r2	
Software	¿Qué significa software de código abierto?	Media	multiple	Que cualquiera lo puede utilizar	Que cualquiera lo puede adquirir	Que cualquiera lo puede modificar	Nunguna de las anteriores	r3	
Software	Indica cuál de estos Sistemas Operativos es de código abierto	Media	multiple	Windows	Mac OS	Linux	Unix	r3	
Software	¿Cuál de estos caracteres no se puede utilizar para nombrar un archivo?	Media	multiple	ñ	-	á	Todo se pueden	r4	
Software	.rar es la extensión de un archivo de ...	Media	multiple	Audio	Comprimido	Imagen	Vídeo	r2	
Software	.exe es la extensión de un archivo de ...	Media	multiple	Audio	Comprimido	Imagen	Ejecutable	r4	
Historia	¿A quién se le conoce como el padre de la tecnología?	Media	multiple	Bleise Pascal	Eckert	Charles Babbage	Maulchy	r3	
Historia	Primera computadora digital electrónica	Media	multiple	ENIAC	UNIVAC	CPU	IBM 1401	r1	
Historia	Primera computadora en serie, es una modificación de la ENIAC utilizando la Memoria de Neumann	Media	multiple	ENIAC	PC	IBM	UNIVAC	r4	
Historia	Construyo la primera sumadora mecanica	Media	multiple	Leonardo Da Vinci	Blaise Pascal	Wilhelfm Schikard	Gottifried Wilhelm Von Leibniz	r4	
Historia	La calculadora universal o rueda escala era capaz de realizar	Media	multiple	divisiones, restas, sumas y fracciones	multiplicaciones, restas, diviciones y sumas	multiplicaciones, sumas, sustraccion y adiccion	suma, resta, divisiones y raices cuadradas	r4	
Historia	Personaje que trazo las primeras ideas de una sumadora mecanica	Media	multiple	Josep-Marie Jacquard	Blaise Pascal	Gottfried Wilhelm Von Leibniz	Leonardo Da Vinci	r4	
Historia	¿Quiénes contribuyeron al desarrollo del cálculo en el siglo XVII?	Media	multiple	Napier, Pascal y Leibniz	Pascal, Leibniz y Leonardo da Vinci	Newton, Kepler y Pascal	Newton y Hollerith	r1	
Historia	¿Por qué se considera a Ada Lovelace la primera programadora?	Media	multiple	Era la hija de Lord Byron	Creó un lenguaje de programación para la máquina de Babbage	Planteó usar tarjetas perforadas en la máquina de Babbage.	Propuso un lenguaje capaz de calcular operaciones complejas	r2	
Historia	¿Cuál es la importancia de Hollerith en la historia de la informática?	Media	multiple	Sentó las bases sobre las que se creó IBM	Usó tarjetas perforadas para procesar la información.	Ayudó a mejorar el sistema del censo en EEUU	Utilizó la electricidad	r2	
Historia	¿Qué máquina es la primera en tratar digitalmente los datos de forma electromecánica?	Media	multiple	Máquina tabuladora de Hollerith (1890)	Mark I (1944), desarrollado por Howard Aiken en Harvard	Máquina analítica de Babbage (1837)	Máquina calculadora de Leibniz (1670)	r2	
Historia	¿Quién es considerado Padre de la inteligencia artificial y formalizó el concepto de algoritmo?	Media	multiple	Albert Einstein	Alan Turing	Steve Jobs	John von Neumann	r2	
Historia	¿Quién desarrolló el primer microprocesador?	Media	multiple	AMD 	Intel	Motorola	Microsoft	r2	
Lenguaje	¿Qué significa HTML?	Media	multiple	CÓDIGOS DE PÁGINAS WEB	Lenguaje de marcas de textos	Lenguaje de marcas de hiper texto	Lenguaje de páginas web	r3	
Lenguaje	¿Qué es php?	Media	multiple	Es un programa informático para dieñar	Es un sistema de base de datos	Es un lenguaje de programación de uso general de código.	Es un servidor web	r3	
Lenguaje	¿Qué es MySQL?	Media	multiple	Es un servidor web	Es un sistema de gestión de base de datos	Es un programa informático para hacer cuentas	Es un lenguaje de programación de uso general de código	r2	
Lenguaje	¿Qué es un servidor web?	Media	multiple	Una base de datos	Un formulario	Un programa informático que procesa una aplicación	Es un servidor independiente de plataforma de código libre	r3	
Lenguaje	¿Qué es XAMPP?	Media	multiple	Un servidor independiente de plataforma de código libre.	Una base de datos	Un programa informático que procesa una aplicación	Un formulario	r1	
Lenguaje	¿Qué es Apache?	Media	multiple	Un formulario	Una base de datos	Es un servidor independiente de plataforma de código libre	Es un servidor web de código abierto	r4	
Lenguaje	¿Qué hace la función PHPinfo() en php?	Media	multiple	Imprime un mensaje en pantalla	Ejecuta un parte específica del programa	Muestra información sobre la configuración de php	Permite la ejecución condicional de fragmentos de código	r3	
Lenguaje	¿Cómo comenzamos un bloque de php?	Media	multiple	?>php	?>	<?php	<html>	r3	
Lenguaje	¿cómo imprimimos un mensaje en pantalla con php?	Media	multiple	info()	echo	if	imprim	r2	
Lenguaje	¿Como declaramos una variable en php?	Media	multiple	Con echo	Con else	Con var	Con un sigo de pesos ($)	r4	
Lenguaje	¿Qué es la concatenación?	Media	multiple	Es un tipo de software	Es un servidor web	Es la unión de dos o más cadenas dentro de una sola línea	Es el uso de una etiqueta	r3	
Lenguaje	¿Qué es lo que hace el script?	Media	multiple	Imprime un mensaje en pantalla	Ejecuta una parte específica del programa	Permite la ejecución condicional de fragmentos de código	Muestra información sobre la configuración de php	r2	
Lenguaje	¿Qué es un array?	Media	multiple	Es un símbolo de código de php	Es una parte específica del programa	Es la unión de dos o más cadenas dentro de una línea	Es un mapa ordenado de datos que asocia valores con claves.	r4	
Lenguaje	¿Cómo se ponen los comentarios en php?	Media	multiple	/**/	*//*	/"/"	"//"	r1	
Lenguaje	¿Cómo se declara una variable númerica en php?	Media	multiple	$Var>=5	$Var=5	$Var!=5	$Var=Numero"5"	r2	
Cultura	¿Quien define los estándares de la web?	Media	multiple	Google	Microsoft	The World Wide Web Consortium	Mozilla	r3	
Lenguaje	¿Que significan las siglas HTML por sus siglas en inglés?	Media	multiple	Hyper Markup Language	Hypertext Makeup Language	Hypertext Markup League	Hypertext Markup Language	r4	
Lenguaje	¿Que significan las siglas por su sigle en ingles "CSS"?	Media	multiple	Cascading Style Shoots	Cascading Style Sheets	Cascading Style Super	Catastrophic Style Sheets	r2	
Lenguaje	¿Como podemos mostrar un "alert" con el mensaje "Hola Mundo"?	Media	multiple	alertBox(Hola Mundo);	alert(Hola Mundo);	alert("Hola Mundo");	alert(/Hola Mundo/)	r3	
Lenguaje	¿Como declaramos una variable en JS?	Media	multiple	variable uno = 1;	var uno = 1;	uno = 1;	$uno = 1;	r2	
Lenguaje	¿Cual es la forma correcta de "comentar" el código en JS?	Media	multiple	 {# ... #}	 <!--- .... ---!>	 // ....	 \\ ...	r3	
Lenguaje	Es un suceso de interaccion al usuario con la maquina	Media	multiple	Objeto	Metodo	Clase	Evento	r4	
Lenguaje	Es una comunicacion dirigida a un objeto	Media	multiple	Herencia	Mensaje	Evento	Transferencia	r2	
Cultura	Atajo de teclado para bloquear el PC a partir de Windows 8.1	Media	multiple	Windows + F	Windows + B	Windows + C	Windows + L	r4	
Cultura	Atajo de teclado para abrir configuracion de Windows a partir de Windows 8.1	Media	multiple	Windows + R	Windows + I	Windows + T	Windows + C	r2	
Cultura	Atajo de teclado para abrir Cortana en Windows 10	Media	multiple	Windows + Q	Windows + S	Windows + K	Windows + C	r1	
Cultura	Atajo de teclado para abrir la ventana emergente “Ejecutar”	Media	multiple	Windows + Q	Windows + S	Windows + R	Windows + E	r3	
Cultura	Atajo de teclado para cambiar de aplicación en la barra de tareas	Media	multiple	Windows + R	Windows + B	Windows + T	Windows + C	r3	
Cultura	Atajo de teclado para mostrar y ocultar el escritorio	Media	multiple	Windows + D	Windows + O	Windows + R	Windows + H	r1	
Cultura	Atajo de teclado para minimizar todas las ventanas 	Media	multiple	Windows + M	Windows + N	Windows + P 	Windows + S	r1	
Cultura	Atajo de teclado para cerrar la ventana o programa activo	Facil	multiple	Alt + 1	Alt + 2	Alt + 3	Alt + 4	r4	
Cultura	Atajo de teclado para vista previa temporal del escritorio	Media	multiple	Windows + ,	Windows + .	Windows + tab	Windows + esc	r3	
Cultura	Atajo de teclado para guardar archivo 	Facil	multiple	Ctrl + S	Ctrl + G	Ctrl + V	Ctrl + X	r1	
Cultura	Atajo de teclado para seleccionar todo 	Facil	multiple	Ctrl + T	Ctrl + A	Ctrl + S	Ctrl + X	r2	
Cultura	Atajo de teclado para cortar elemento seleccionado	Facil	multiple	Ctrl + T	Ctrl + A	Ctrl + S	Ctrl + X	r4	
Cultura	Atajo de teclado para copiar elemento seleccionado	Facil	multiple	Ctrl + C	Ctrl + V	Ctrl + X	Ctrl + Z	r1	
